Date,ETF Rotation Strategy,SPY Buy & Hold,60/40 Portfolio
2010-03-31,-0.0005,0.060879734274228436,0.036501090394292966
2010-04-30,-0.00043607509700449576,0.01546980238952278,0.01317493724775618
2010-05-31,0.00043626534145557727,-0.07945436165425901,-0.0433427955742211
2010-06-30,0.0002178310735510003,-0.05174126926471756,-0.02397003608720458
2010-07-31,-0.00043567048200887637,0.06830070723368387,0.04439920498725023
2010-08-31,0.0,-0.044980410279152006,-0.0218411234053288
2010-09-30,0.0,0.08955455954270741,0.05376216442416961
2010-10-31,0.0002179818167435954,0.03820197471964626,0.02353010109319662
2010-11-30,0.0,0.0,-0.0033394136745615644
2010-12-31,-0.0002179343110266796,0.06685236531864591,0.037409344285198334
2011-01-31,0.0,0.02330010514053238,0.013639984544154382
2011-02-28,0.041109145973209985,0.034737239799892405,0.022004040140816583
2011-03-31,0.0038729938887375193,0.00012055421506018682,-0.0008198321399633724
2011-04-30,0.04904606274562698,0.028960769490404825,0.023646680699077292
2011-05-31,-0.013772597272798707,-0.011214137720402473,-0.0017693314112148242
2011-06-30,-0.015548942990617374,-0.016869640338069147,-0.011902642536613262
2011-07-31,0.004171439616641348,-0.020004796255488344,-0.005256015220665499
2011-08-31,0.028754840931687006,-0.05497552803685957,-0.02690350177805709
2011-09-30,0.009381526183133785,-0.06942088132853552,-0.03857004670155062
2011-10-31,0.007227716396001949,0.10914713768258033,0.06599374862819425
2011-11-30,0.011085391427096006,-0.0040634228788275495,-0.0037609645278441797
2011-12-31,-0.019536318526380825,0.01044799213522607,0.011695562301571538
2012-01-31,0.016444350162407046,0.0463744997724167,0.030727465915390748
2012-02-29,-0.018918497790598215,0.0434054090918472,0.025989140648980814
2012-03-31,0.00048017043171362837,0.03216417584728326,0.017006580747786645
2012-04-30,-0.0034368947184054695,-0.006675611365141387,-0.00038159698914443877
2012-05-31,0.009877771333675069,-0.060055700928987266,-0.03172037489608468
2012-06-30,0.006411486136313334,0.04058097290100027,0.024269144669376307
2012-07-31,0.020589867013670528,0.011829572172311176,0.012546390747829372
2012-08-31,0.012887851673439126,0.025052578998461916,0.015031586928624163
