Date,Gross Strategy Return,Transaction Cost,Net Strategy Return,Turnover,Strategy Value
2010-03-31,0.0,0.0005,-0.0005,1.0,99950.0
2010-04-30,-0.00043607509700449576,0.0,-0.00043607509700449576,0.0,99906.4142940544
2010-05-31,0.00043626534145557727,0.0,0.00043626534145557727,0.0,99950.0
2010-06-30,0.0002178310735510003,0.0,0.0002178310735510003,0.0,99971.77221580142
2010-07-31,-0.00043567048200887637,0.0,-0.00043567048200887637,0.0,99928.21746561289
2010-08-31,0.0,0.0,0.0,0.0,99928.21746561289
2010-09-30,0.0,0.0,0.0,0.0,99928.21746561289
2010-10-31,0.0002179818167435954,0.0,0.0002179818167435954,0.0,99950.0
2010-11-30,0.0,0.0,0.0,0.0,99950.0
2010-12-31,-0.0002179343110266796,0.0,-0.0002179343110266796,0.0,99928.21746561288
2011-01-31,0.0,0.0,0.0,0.0,99928.21746561288
2011-02-28,0.042109145973209985,0.0009999999999999998,0.041109145973209985,1.9999999999999998,104036.18114424944
2011-03-31,0.0038729938887375193,0.0,0.0038729938887375193,0.0,104439.1126380287
2011-04-30,0.04904606274562698,0.0,0.04904606274562698,0.0,109561.43990957105
2011-05-31,-0.013772597272798707,0.0,-0.013772597272798707,0.0,108052.4943210686
2011-06-30,-0.015215609657284041,0.0003333333333333333,-0.015548942990617374,0.6666666666666666,106372.39224687629
2011-07-31,0.004504772949974681,0.0003333333333333333,0.004171439616641348,0.6666666666666666,106816.1182580118
2011-08-31,0.02908817426502034,0.0003333333333333333,0.028754840931687006,0.6666666666666666,109887.59874746119
2011-09-30,0.009714859516467118,0.0003333333333333333,0.009381526183133785,0.6666666666666666,110918.51213231221
2011-10-31,0.007227716396001949,0.0,0.007227716396001949,0.0,111720.19968107106
2011-11-30,0.011085391427096006,0.0,0.011085391427096006,0.0,112958.66182484906
2011-12-31,-0.019536318526380825,0.0,-0.019536318526380825,0.0,110751.86542712507
2012-01-31,0.01677768349574038,0.0003333333333333333,0.016444350162407046,0.6666666666666666,112573.1078833485
2012-02-29,-0.01858516445726488,0.0003333333333333333,-0.018918497790598215,0.6666666666666666,110443.39379057659
2012-03-31,0.0008135037650469617,0.0003333333333333333,0.00048017043171362837,0.6666666666666666,110496.42544265295
2012-04-30,-0.003103561385072136,0.0003333333333333333,-0.0034368947184054695,0.6666666666666666,110116.6608616464
2012-05-31,0.010211104667008402,0.0003333333333333333,0.009877771333675069,0.6666666666666666,111204.36805766558
2012-06-30,0.006411486136313334,0.0,0.006411486136313334,0.0,111917.35332176481
2012-07-31,0.020589867013670528,0.0,0.020589867013670528,0.0,114221.71674318194
2012-08-31,0.012887851673439126,0.0,0.012887851673439126,0.0,115693.78928645364
2012-09-30,-0.004592804144431639,0.0,-0.004592804144431639,0.0,115162.43037153382
2012-10-31,-0.023820900252992733,0.0003333333333333333,-0.024154233586326068,0.6666666666666666,112380.77012797078
2012-11-30,0.0071509452831307226,0.0,0.0071509452831307226,0.0,113184.398866032
2012-12-31,0.0006044950022473143,0.0,0.0006044950022473143,0.0,113252.81826947888
2013-01-31,0.014015808430445881,0.0003333333333333333,0.013682475097112548,0.6666666666666666,114802.39713512883
2013-02-28,-0.002214014160349498,0.0003333333333333333,-0.0025473474936828313,0.6666666666666666,114509.95553651788
2013-03-31,0.009590913568669923,0.0003333333333333333,0.00925758023533659,0.6666666666666666,115570.04063764203
2013-04-30,0.01809058054473045,0.0003333333333333333,0.017757247211397115,0.6666666666666666,117622.24641947585
2013-05-31,0.01312456426653959,0.0,0.01312456426653959,0.0,119165.98715178302
2013-06-30,-0.018648851211585327,0.0003333333333333334,-0.01898218454491866,0.6666666666666667,116903.95639219046
2013-07-31,0.0574090227658105,0.0,0.0574090227658105,0.0,123615.29828612303
2013-08-31,-0.01697602136700227,0.0,-0.01697602136700227,0.0,121516.80234112944
2013-09-30,0.03998404551556556,0.0,0.03998404551556556,0.0,126375.53569684314
2013-10-31,0.04793811532468295,0.0,0.04793811532468295,0.0,132433.74070129698
2013-11-30,0.020852663720825282,0.0003333333333333334,0.020519330387491947,0.6666666666666667,135151.19238119834
2013-12-31,0.01704393273391458,0.0,0.01704393273391458,0.0,137454.70021305187
2014-01-31,-0.0469418904117647,0.0,-0.0469418904117647,0.0,131002.31673906882
2014-02-28,0.033601354514320114,0.0003333333333333333,0.03326802118098678,0.6666666666666666,135360.5045871025
2014-03-31,-0.006840312498611206,0.0,-0.006840312498611206,0.0,134434.596435757
2014-04-30,0.003991314604740151,0.0,0.003991314604740151,0.0,134971.1672038934
2014-05-31,0.026617843656455104,0.0,0.026617843656455104,0.0,138563.80863065587
2014-06-30,0.017102442128792826,0.0,0.017102442128792826,0.0,140933.5881489068
2014-07-31,-0.001375691748080646,0.0,-0.001375691748080646,0.0,140739.70697466296
2014-08-31,0.0392853898511812,0.0003333333333333333,0.03895205651784787,0.6666666666666666,146221.80799504538
2014-09-30,-0.009170426092998524,0.0003333333333333333,-0.009503759426331857,0.6666666666666666,144832.15110897718
2014-10-31,0.020203834722380888,0.0,0.020203834722380888,0.0,147758.31595246986
2014-11-30,0.027235785511882916,0.0003333333333333333,0.02690245217854958,0.6666666666666666,151733.37698136418
2014-12-31,0.0038610310293876174,0.0,0.0038610310293876174,0.0,152319.224258083
2015-01-31,0.03261940190845069,0.0,0.03261940190845069,0.0,157287.78625254086
2015-02-28,0.0006245867306969091,0.0,0.0006245867306969091,0.0,157386.02611673487
2015-03-31,-0.0029736483028810485,0.0,-0.0029736483028810485,0.0,156918.01542727565
2015-04-30,-0.006085289948926431,0.0,-0.006085289948926431,0.0,155963.12380519055
2015-05-31,0.010322196668882936,0.0003333333333333333,0.009988863335549603,0.6666666666666666,157521.018134266
2015-06-30,-0.018639886119169592,0.0,-0.018639886119169592,0.0,154584.84429486762
2015-07-31,0.03408322785632367,0.0003333333333333334,0.03374989452299034,0.6666666666666667,159802.0664846723
2015-08-31,-0.04418409352490771,0.0003333333333333334,-0.04451742685824104,0.6666666666666667,152688.08967814513
2015-09-30,-0.00043696927885361614,0.0009999999999999998,-0.001436969278853616,1.9999999999999998,152468.6815840308
2015-10-31,0.0006851298176802079,0.001,-0.00031487018231979216,2.0,152420.6737424624
2015-11-30,0.0019511185279779868,0.0006666666666666666,0.0012844518613113203,1.3333333333333333,152616.4507605532
2015-12-31,-0.011715623586151969,0.0,-0.011715623586151969,0.0,150828.45387038807
2016-01-31,-0.06910436140964393,0.0006666666666666666,-0.0697710280763106,1.3333333333333333,140304.99758069072
2016-02-29,0.01986512523571604,0.001,0.01886512523571604,2.0,142951.86893124724
2016-03-31,-0.000204937917949362,0.0003333333333333334,-0.0005382712512826954,0.6666666666666667,142874.92204988442
2016-04-30,0.015424056793653884,0.0,0.015424056793653884,0.0,145078.63296197072
2016-05-31,-0.017730834760098475,0.0,-0.017730834760098475,0.0,142506.26769370103
2016-06-30,0.030722918077826858,0.0003333333333333333,0.030389584744493523,0.6666666666666666,146836.97399240022
2016-07-31,0.01543871562192837,0.0003333333333333333,0.015105382288595037,0.6666666666666666,149055.00261865594
2016-08-31,-0.014950673840816497,0.0,-0.014950673840816497,0.0,146826.52989016235
2016-09-30,-0.0048364722370192546,0.0003333333333333333,-0.005169805570352588,0.6666666666666666,146067.46527806064
2016-10-31,-0.013360279169481569,0.0003333333333333333,-0.013693612502814902,0.6666666666666666,144067.27400927452
2016-11-30,-0.021817688215567878,0.0003333333333333333,-0.022151021548901213,0.6666666666666666,140876.03671820363
2016-12-31,0.00968907123481281,0.0003333333333333333,0.009355737901479477,0.6666666666666666,142194.03599433837
2017-01-31,0.04528274193764499,0.0,0.04528274193764499,0.0,148632.97183134218
2017-02-28,0.033483298871815594,0.0,0.033483298871815594,0.0,153609.69404937714
2017-03-31,0.019456852008489674,0.0,0.019456852008489674,0.0,156598.45513356526
2017-04-30,0.018068504810336762,0.0,0.018068504810336762,0.0,159427.9550734374
2017-05-31,0.027181141281496325,0.0,0.027181141281496325,0.0,163761.38884450856
2017-06-30,-0.002512556044036662,0.0,-0.002512556044036662,0.0,163349.92917718744
2017-07-31,0.039797749209510735,0.0,0.039797749209510735,0.0,169850.8886919725
2017-08-31,0.01572334413908168,0.0,0.01572334413908168,0.0,172521.5126672052
2017-09-30,0.005583522078517496,0.0,0.005583522078517496,0.0,173484.79034220177
2017-10-31,0.034144493651249386,0.0,0.034144493651249386,0.0,179408.34066462942
2017-11-30,0.015464373678573562,0.0,0.015464373678573562,0.0,182182.77828572007
2017-12-31,0.018591748079388532,0.0,0.018591748079388532,0.0,185569.87460401127
2018-01-31,0.07563647641674401,0.0,0.07563647641674401,0.0,199605.72604815572
2018-02-28,-0.03609110269973651,0.0,-0.03609110269973651,0.0,192401.73528989626
2018-03-31,-0.020928153516156324,0.0,-0.020928153516156324,0.0,188375.12223697442
2018-04-30,-0.010883421840514457,0.0003333333333333333,-0.01121675517384779,0.6666666666666666,186262.16460999864
2018-05-31,0.01827455294210556,0.0003333333333333333,0.017941219608772225,0.6666666666666666,189603.93501007193
2018-06-30,0.008600579686739773,0.0003333333333333334,0.00826724635340644,0.6666666666666667,191171.43745037547
2018-07-31,0.03250510394103989,0.0,0.03250510394103989,0.0,197385.4848952579
2018-08-31,0.04486340871927641,0.0,0.04486340871927641,0.0,206240.87057936646
2018-09-30,0.0015647849141471881,0.0,0.0015647849141471881,0.0,206563.5931823296
2018-10-31,-0.07753083490578577,0.0,-0.07753083490578577,0.0,190548.54534176452
2018-11-30,0.001858898393238606,0.001,0.000858898393238606,2.0,190712.20718119256
2018-12-31,-0.0880484468645415,0.001,-0.0890484468645415,2.0,173729.5813335987
2019-01-31,0.01392024556230013,0.0009999999999999998,0.01292024556230013,1.9999999999999998,175974.2101858644
2019-02-28,-0.0069983474830180485,0.0,-0.0069983474830180485,0.0,174742.68151493403
2019-03-31,0.020324595468176776,0.0,0.020324595468176776,0.0,178294.25582774953
2019-04-30,0.006312616645745671,0.0003333333333333333,0.005979283312412338,0.6666666666666666,179360.32769631935
2019-05-31,-0.042304795220863764,0.0003333333333333333,-0.042638128554197095,0.6666666666666666,171712.73898648075
