,CAGR,Annualized Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown,Calmar Ratio,Win Rate,Monthly VaR 95%,Monthly CVaR 95%,Beta vs SPY,Annualized Alpha vs SPY,Average Monthly Turnover,Annualized Turnover,Final Growth Multiple
ETF Rotation Strategy,0.09930974181227703,0.10092660929751507,0.9919720579094975,1.3547674366551976,-0.16871731198578976,0.5886161926325699,0.649746192893401,-0.043013988215005884,-0.06226611366203474,0.37817284284261043,0.045276500248318315,0.38917089678511,4.6700507614213205,4.7321073780144225
SPY Buy & Hold,0.14330188188736592,0.14422386122026018,1.0054697470840197,1.5146280017273843,-0.2392719604670448,0.5989079606638783,0.6802030456852792,-0.061514326225042715,-0.0836511693909274,1.0000000000000002,-4.163336342344337e-17,,,9.011734941478535
60/40 Portfolio,0.09692433760794472,0.09252902047252001,1.0496456848772135,1.5390166075669225,-0.20046026932539163,0.48350896631099977,0.6802030456852792,-0.038619847702582026,-0.05245559410816251,0.6306236339710979,0.005674232763977025,,,4.566327304681451
