Date,AGG,BIL,EEM,GLD,QQQ,SPY,TLT
2010-01-31,,,,,,,
2010-02-28,,,,,,,
2010-03-31,,,,,,,
2010-04-30,,,,,,,
2010-05-31,,,,,,,
2010-06-30,,,,,,,
2010-07-31,,,,,,,
2010-08-31,,,,,,,
2010-09-30,,,,,,,
2010-10-31,,,,,,,
2010-11-30,,,,,,,
2010-12-31,,,,,,,
2011-01-31,0.28473780428741163,-0.09494091063991658,0.5986210696057696,0.6951636959563642,1.6328964602083436,1.4775246743617956,-0.1972375434239307
2011-02-28,0.31291472484373706,-0.06448623933772239,0.7516939896247042,1.0232293279353517,1.9730278395171834,2.1232752726760995,-0.226764653178888
2011-03-31,0.41178351208684444,-0.03354340679911502,0.533771423274436,1.0359493399130726,0.9430786782547815,1.0190533416260843,-0.062210489982444876
2011-04-30,0.811183107330197,0.009105942120328184,0.7074582141530632,1.92517212370433,0.9442908937446135,1.0761692177840758,0.1906284797383202
2011-05-31,1.3228213773879416,0.025916974372862788,0.8046792359580979,1.1665767394868019,1.0970489834150254,1.2707814966359958,0.3174802538907708
2011-06-30,0.9022758743093241,0.019136055326182583,0.6097270610769342,0.8031165415213816,1.015069948637018,1.1173207413657966,0.012739326807571743
2011-07-31,1.079494519372083,0.09214452217751576,0.31046291800594106,1.6891532145312929,0.6865171960514502,0.4801661003021247,0.38131923362278464
2011-08-31,0.8157832279660874,0.054220030025532814,-0.042675722648202234,1.4949718635163305,0.25842144566229724,0.08215036337600935,0.4272174717870825
2011-09-30,0.986757711319326,-0.02351045862326358,-0.5665424247650418,0.5493570350145105,-0.05168226100060813,-0.23784719772781626,0.9663082240474704
2011-10-31,0.7932545233521695,-0.19978994040009507,-0.2708406757066757,0.5024987714565259,0.12321998340755527,0.009650932275833555,0.7069962246829854
2011-11-30,0.9167822850059425,-0.15312037882095517,-0.23725944559332734,0.49998312248799903,0.12470901532292354,0.06594815893721771,0.7817435144735908
2011-12-31,1.4686303726220826,-0.16066941823885075,-0.2659246026857022,0.17634037140395772,0.11257202688983256,0.11717931468557051,1.0204584733535005
2012-01-31,1.8725306639574262,-0.20679817642108167,-0.12431427093433314,0.6952044613065054,0.3021629168923619,0.18859733335393905,1.2192264858745923
2012-02-29,1.837652220054012,-0.15754815643400324,0.17312478363814388,0.20395342953860796,0.9643856368523357,0.6118483193375615,0.9903740906840973
2012-03-31,1.2677175165643357,-0.22382249745843005,0.3478799002911474,0.48053205210044503,2.1865627758028685,1.5634335190143922,0.4500492262444268
2012-04-30,1.2486056350468062,-0.029587850463445416,-0.20760285237515894,0.011228595009623286,0.9839130031430573,0.6760230783563487,0.774870886724308
2012-05-31,1.5049989353428497,-0.12081389581803686,-0.676207092592969,-0.34507153314556455,0.31624404458972777,0.04644276797070229,1.34763995212494
2012-06-30,1.6210173780400365,-0.20820302376090474,-0.3156080126654478,0.11049212758777771,0.4310669283489188,0.2517110648076245,1.3194640301607075
2012-07-31,1.8564540242678642,-0.2156572490174221,-0.39487404211459703,-0.2213799977054743,0.33634950743667996,0.3026317289426353,1.4413876037134425
2012-08-31,1.3215574945935054,-0.25780470362825497,-0.17714719500046566,-0.041003341730489265,0.9004177893364473,0.7577625614072153,0.9195450222924361
2012-09-30,1.3900131543482632,-0.20163676180500326,0.47252947902322234,0.6994371096691946,1.141017058120413,1.2968653110585242,0.43279242987143557
2012-10-31,1.0414797760557823,-0.03656110610434589,0.14582515974642027,0.23886082324010796,0.37316705008521306,0.7360174433970588,0.31381845293086874
