Date,AGG,BIL,EEM,GLD,QQQ,SPY,TLT
2010-01-04,65.19190216064453,73.88529968261719,30.194564819335938,109.80000305175781,40.246551513671875,84.57843780517578,55.722900390625
2010-01-05,65.48851013183594,73.86917877197266,30.41373062133789,109.69999694824219,40.246551513671875,84.80236053466797,56.08271408081055
2010-01-06,65.45067596435547,73.86917877197266,30.47735023498535,111.51000213623047,40.003807067871094,84.86209106445312,55.33195114135742
2010-01-07,65.37493133544922,73.86917877197266,30.300607681274414,110.81999969482422,40.029815673828125,85.22030639648438,55.42503356933594
2010-01-08,65.41272735595703,73.86917877197266,30.540971755981445,111.37000274658203,40.35927200317383,85.50387573242188,55.40020751953125
2010-01-11,65.36227416992188,73.86917877197266,30.47735023498535,112.8499984741211,40.194549560546875,85.6233139038086,55.09620666503906
2010-01-12,65.77877807617188,73.86917877197266,29.98952865600586,110.48999786376953,39.69166946411133,84.82476043701172,56.03933334350586
2010-01-13,65.50108337402344,73.90140533447266,30.081449508666992,111.54000091552734,40.18586730957031,85.54118347167969,55.38779067993164
2010-01-14,65.67147064208984,73.88529968261719,30.00368309020996,112.02999877929688,40.220558166503906,85.7725601196289,56.16336441040039
2010-01-15,65.79769897460938,73.88529968261719,29.657268524169922,110.86000061035156,39.75238800048828,84.80982971191406,56.51081848144531
2010-01-19,65.6904067993164,73.88529968261719,30.258190155029297,111.5199966430664,40.393951416015625,85.86958312988281,56.3494873046875
2010-01-20,65.86083221435547,73.88529968261719,29.530019760131836,108.94000244140625,39.81305694580078,84.99642181396484,56.920310974121094
2010-01-21,65.87972259521484,73.88529968261719,28.639238357543945,107.37000274658203,39.44025421142578,83.36202239990234,57.1808967590332
2010-01-22,65.91756439208984,73.88529968261719,28.002967834472656,107.16999816894531,38.287113189697266,81.50373077392578,57.081661224365234
2010-01-25,65.91127014160156,73.90140533447266,28.20798683166504,107.4800033569336,38.417171478271484,81.92164611816406,56.8210563659668
2010-01-26,65.99327850341797,73.90140533447266,27.621212005615234,107.55999755859375,38.45183563232422,81.57833862304688,56.839637756347656
2010-01-27,65.94281005859375,73.9175033569336,27.550504684448242,106.52999877929688,38.75531005859375,81.96642303466797,56.80862045288086
2010-01-28,65.88601684570312,73.90140533447266,27.359621047973633,106.4800033569336,37.758243560791016,81.02607727050781,56.77763366699219
2010-01-29,66.0374755859375,73.9175033569336,27.062705993652344,105.95999908447266,37.09932327270508,80.14543151855469,57.27394485473633
2010-02-01,65.94694519042969,73.90140533447266,27.790868759155273,108.3499984741211,37.506805419921875,81.39178466796875,56.75406265258789
2010-02-02,66.02294158935547,73.88529968261719,28.017112731933594,109.12999725341797,37.844947814941406,82.37687683105469,56.91597366333008
2010-02-03,65.90266418457031,73.9175033569336,27.854501724243164,108.69999694824219,38.05302429199219,81.96642303466797,56.2559814453125
2010-02-04,66.06092834472656,73.9175033569336,26.596101760864258,104.37000274658203,36.95193099975586,79.43648529052734,57.1463508605957
2010-02-05,66.08624267578125,73.9175033569336,26.29917335510254,104.68000030517578,37.264041900634766,79.60063171386719,57.27085876464844
2010-02-08,66.21282958984375,73.9175033569336,26.03760528564453,104.04000091552734,36.99527359008789,79.02599334716797,57.3455924987793
2010-02-09,66.0925521850586,73.9175033569336,26.885957717895508,105.41000366210938,37.376766204833984,80.0185775756836,56.77275848388672
2010-02-10,65.94066619873047,73.9175033569336,26.815258026123047,105.12000274658203,37.29873275756836,79.8618392944336,56.231056213378906
2010-02-11,65.83297729492188,73.9175033569336,27.52222442626953,107.12999725341797,37.86228561401367,80.69771575927734,55.92596435546875
2010-02-12,65.84575653076172,73.9175033569336,27.175823211669922,107.04000091552734,37.9403076171875,80.63053894042969,56.15630340576172
