Ticker,3M Momentum,6M Momentum,12M Momentum,Weighted Momentum,Annualized Volatility,Risk-Adjusted Score,Above 200D MA,Target Weight
BIL,0.0037015250953351675,0.01219407143211848,0.03230160800041615,0.017689322158402555,0.0062918114164307055,2.8114832100987486,True,0.0
SPY,0.03901536996470356,0.08203821018956114,0.1913560250368318,0.11285848406101213,0.13712189092606408,0.8230522734102701,True,0.3333333333333333
QQQ,0.06835463563123878,0.148604446990944,0.26729075800786606,0.17200402798980124,0.23631590370735506,0.7278563367567707,True,0.3333333333333333
EEM,0.03205948085841581,0.1174533250362253,0.37946009432914996,0.19663787950005232,0.3309874547764789,0.5940946602729853,True,0.3333333333333333
AGG,0.0017300271075297857,0.001162199304942213,0.03673895198085564,0.015563248716083855,0.04146025500736373,0.3753775444294705,True,0.0
TLT,0.006105321440285971,-0.0002704486906117687,0.024579654172267373,0.01158232349380921,0.08888492520416032,0.13030694988161043,False,0.0
GLD,-0.107468249033981,-0.15017418921460324,0.24811861482667208,0.021954714456093566,0.23905074089476752,0.09184123158923087,False,0.0
